id;element1;element2;variable;subnet;voltLvl
MV1.102 Measurement 1;HV1 Bus 30;NULL;v;HV1_MV1.102;3
MV1.102 Measurement 2;HV1 Bus 29;NULL;v;HV1_MV1.102;3
MV1.102 Measurement 3;MV1.102 Bus 7_2;MV1.102 Line 5;p;MV1.102_Feeder1;5
MV1.102 Measurement 4;MV1.102 Bus 11_2;MV1.102 Line 9;p;MV1.102_Feeder1;5
MV1.102 Measurement 5;MV1.102 Bus 33_2;MV1.102 Line 31;p;MV1.102_Feeder4;5
MV1.102 Measurement 6;MV1.102 Bus 45_2;MV1.102 Line 43;p;MV1.102_Feeder5;5
MV1.102 Measurement 7;MV1.102 Bus 61_2;MV1.102 Line 59;p;MV1.102_Feeder6;5
MV1.102 Measurement 8;MV1.102 Bus 26_3;MV1.102 loop_line 3;p;MV1.102_Loop_Line;5
MV1.102 Measurement 9;MV1.102 Bus 39_2;MV1.102 loop_line 4;p;MV1.102_Loop_Line;5
MV1.102 Measurement 10;MV1.102 Bus 7_2;MV1.102 Line 5;q;MV1.102_Feeder1;5
MV1.102 Measurement 11;MV1.102 Bus 11_2;MV1.102 Line 9;q;MV1.102_Feeder1;5
MV1.102 Measurement 12;MV1.102 Bus 33_2;MV1.102 Line 31;q;MV1.102_Feeder4;5
MV1.102 Measurement 13;MV1.102 busbar1.1;NULL;v;MV1.102;5
MV1.102 Measurement 14;MV1.102 Bus 45_2;MV1.102 Line 43;q;MV1.102_Feeder5;5
MV1.102 Measurement 15;MV1.102 Bus 61_2;MV1.102 Line 59;q;MV1.102_Feeder6;5
MV1.102 Measurement 16;MV1.102 Bus 26_3;MV1.102 loop_line 3;q;MV1.102_Loop_Line;5
MV1.102 Measurement 17;MV1.102 Bus 39_2;MV1.102 loop_line 4;q;MV1.102_Loop_Line;5
MV1.102 Measurement 18;MV1.102 Bus 13;NULL;v;MV1.102_Feeder1;5
MV1.102 Measurement 19;MV1.102 Bus 31;NULL;v;MV1.102_Feeder4;5
MV1.102 Measurement 20;MV1.102 Bus 52;NULL;v;MV1.102_Feeder6;5
MV1.102 Measurement 21;MV1.102 Bus 13;NULL;p;MV1.102_Feeder1;5
MV1.102 Measurement 22;MV1.102 Bus 31;NULL;p;MV1.102_Feeder4;5
MV1.102 Measurement 23;MV1.102 Bus 52;NULL;p;MV1.102_Feeder6;5
MV1.102 Measurement 24;MV1.102 busbar1.2;NULL;v;MV1.102;5
MV1.102 Measurement 25;MV1.102 Bus 13;NULL;q;MV1.102_Feeder1;5
MV1.102 Measurement 26;MV1.102 Bus 31;NULL;q;MV1.102_Feeder4;5
MV1.102 Measurement 27;MV1.102 Bus 52;NULL;q;MV1.102_Feeder6;5
MV1.102 Measurement 28;MV1.102 busbar1.1_1;HV1-MV1.102-Trafo1;p;MV1.102;3
MV1.102 Measurement 29;MV1.102 busbar1.2_1;HV1-MV1.102-Trafo2;p;MV1.102;3
MV1.102 Measurement 30;MV1.102 busbar1.1_1;HV1-MV1.102-Trafo1;q;MV1.102;3
MV1.102 Measurement 31;MV1.102 busbar1.2_1;HV1-MV1.102-Trafo2;q;MV1.102;3
MV1.102 Measurement 32;MV1.102 busbar1.1_1;HV1-MV1.102-Trafo1;i;MV1.102;3
MV1.102 Measurement 33;MV1.102 busbar1.2_1;HV1-MV1.102-Trafo2;i;MV1.102;3
MV1.103 Measurement 1;HV1 Bus 41;NULL;v;HV1_MV1.103;3
MV1.103 Measurement 2;HV1 Bus 42;NULL;v;HV1_MV1.103;3
MV1.103 Measurement 3;MV1.103 Bus 7_2;MV1.103 Line 5;p;MV1.103_Feeder1;5
MV1.103 Measurement 4;MV1.103 Bus 11_2;MV1.103 Line 9;p;MV1.103_Feeder1;5
MV1.103 Measurement 5;MV1.103 Bus 33_2;MV1.103 Line 31;p;MV1.103_Feeder4;5
MV1.103 Measurement 6;MV1.103 Bus 45_2;MV1.103 Line 43;p;MV1.103_Feeder5;5
MV1.103 Measurement 7;MV1.103 Bus 61_2;MV1.103 Line 59;p;MV1.103_Feeder6;5
MV1.103 Measurement 8;MV1.103 Bus 26_3;MV1.103 loop_line 3;p;MV1.103_Loop_Line;5
MV1.103 Measurement 9;MV1.103 Bus 39_2;MV1.103 loop_line 4;p;MV1.103_Loop_Line;5
MV1.103 Measurement 10;MV1.103 Bus 7_2;MV1.103 Line 5;q;MV1.103_Feeder1;5
MV1.103 Measurement 11;MV1.103 Bus 11_2;MV1.103 Line 9;q;MV1.103_Feeder1;5
MV1.103 Measurement 12;MV1.103 Bus 33_2;MV1.103 Line 31;q;MV1.103_Feeder4;5
MV1.103 Measurement 13;MV1.103 busbar1.1;NULL;v;MV1.103;5
MV1.103 Measurement 14;MV1.103 Bus 45_2;MV1.103 Line 43;q;MV1.103_Feeder5;5
MV1.103 Measurement 15;MV1.103 Bus 61_2;MV1.103 Line 59;q;MV1.103_Feeder6;5
MV1.103 Measurement 16;MV1.103 Bus 26_3;MV1.103 loop_line 3;q;MV1.103_Loop_Line;5
MV1.103 Measurement 17;MV1.103 Bus 39_2;MV1.103 loop_line 4;q;MV1.103_Loop_Line;5
MV1.103 Measurement 18;MV1.103 Bus 13;NULL;v;MV1.103_Feeder1;5
MV1.103 Measurement 19;MV1.103 Bus 31;NULL;v;MV1.103_Feeder4;5
MV1.103 Measurement 20;MV1.103 Bus 52;NULL;v;MV1.103_Feeder6;5
MV1.103 Measurement 21;MV1.103 Bus 13;NULL;p;MV1.103_Feeder1;5
MV1.103 Measurement 22;MV1.103 Bus 31;NULL;p;MV1.103_Feeder4;5
MV1.103 Measurement 23;MV1.103 Bus 52;NULL;p;MV1.103_Feeder6;5
MV1.103 Measurement 24;MV1.103 busbar1.2;NULL;v;MV1.103;5
MV1.103 Measurement 25;MV1.103 Bus 13;NULL;q;MV1.103_Feeder1;5
MV1.103 Measurement 26;MV1.103 Bus 31;NULL;q;MV1.103_Feeder4;5
MV1.103 Measurement 27;MV1.103 Bus 52;NULL;q;MV1.103_Feeder6;5
