id;node;type;profile;pStor;qStor;chargeLevel;sR;max_e_mwh;efficiency_percent;self-discharge_percent_per_day;pMin;pMax;qMin;qMax;subnet;voltLvl
EHV Storage 5;EHV Bus 2484;Wind_Offshore_Storage;Storage_WP2_3%_e_MWh;0;0;0.5;1000;3;0.95;0.13;0;0;0;0;EHV1;1
EHV Storage 6;EHV Bus 143;Storage;hv_mixed;-339.188;0;0.5;339.188;416.44;0.95;0.13;-339.188;0;-339.188;339.188;EHV1_HV1;1
EHV Storage 7;EHV Bus 57;Storage;hv_mixed;-339.188;0;0.5;339.188;416.44;0.95;0.13;-339.188;0;-339.188;339.188;EHV1_HV1;1
EHV Storage 8;EHV Bus 1649;Storage;hv_mixed;-339.188;0;0.5;339.188;416.44;0.95;0.13;-339.188;0;-339.188;339.188;EHV1_HV1;1
EHV Storage 9;EHV Bus 1865;Storage;hv_urban;-338.609;0;0.5;338.609;484.286;0.95;0.13;-338.609;0;-338.609;338.609;EHV1_HV2;1
HV1 Storage 1;HV1 Bus 49;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 2;HV1 Bus 66;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 3;HV1 Bus 69;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 4;HV1 Bus 75;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 5;HV1 Bus 102;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 6;HV1 Bus 19;PV_Storage;mv_semiurb;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 7;HV1 Bus 89;PV_Storage;mv_semiurb;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 8;HV1 Bus 93;PV_Storage;mv_semiurb;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV1;3
HV1 Storage 9;HV1 Bus 25;PV_Storage;mv_urban;-33.5213;0;0.5;33.5213;55.8509;0.95;0.13;-33.5213;0;-33.5213;33.5213;HV1;3
HV1 Storage 10;HV1 Bus 47;PV_Storage;mv_urban;-33.5213;0;0.5;33.5213;55.8509;0.95;0.13;-33.5213;0;-33.5213;33.5213;HV1;3
HV1 Storage 11;HV1 Bus 55;PV_Storage;mv_urban;-33.5213;0;0.5;33.5213;55.8509;0.95;0.13;-33.5213;0;-33.5213;33.5213;HV1;3
HV1 Storage 12;HV1 Bus 41;PV_Storage;mv_rural;-23.1444;0;0.5;23.1444;27.1889;0.95;0.13;-23.1444;0;-23.1444;23.1444;HV1;3
HV1 Storage 13;HV1 Line 325;Wind_Storage;Storage_WP10_3%_e_MWh;-16.5;0;0.5;16.5;0.396;0.95;0.13;-16.5;0;-16.5;16.5;HV1;3
HV1 Storage 14;HV1 Line 332;Wind_Storage;Storage_WP4_3%_e_MWh;-25.5;0;0.5;25.5;0.2295;0.95;0.13;-25.5;0;-25.5;25.5;HV1;3
HV1 Storage 15;HV1 Line 334;Wind_Storage;Storage_WP10_3%_e_MWh;-18;0;0.5;18;0.432;0.95;0.13;-18;0;-18;18;HV1;3
HV1 Storage 16;HV1 Line 336;Wind_Storage;Storage_WP7_3%_e_MWh;-23;0;0.5;23;0.207;0.95;0.13;-23;0;-23;23;HV1;3
HV1 Storage 17;HV1 Line 341;Wind_Storage;Storage_WP4_3%_e_MWh;-22.4;0;0.5;22.4;0.2016;0.95;0.13;-22.4;0;-22.4;22.4;HV1;3
HV2 Storage 1;HV2 Bus 59;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV2;3
HV2 Storage 2;HV2 Bus 96;PV_Storage;mv_rural;-13.76;0;0.5;13.76;27.529;0.95;0.13;-13.76;0;-13.76;13.76;HV2;3
